time_s,robot_id,cycle_index,sync_error_ms,master_ts_us,local_ts_us,corrected_ts_us
0.0,2,0,0.9382,0.0,938.2,938.2
0.245,2,1,0.0,245000.0,245088.9,245000.0
0.49,2,2,0.3527,490000.0,491367.2,490352.7
0.735,2,3,-0.1951,735000.0,735580.4,734804.9
0.98,2,4,-0.7235,980000.0,978993.1,979276.5
1.225,2,5,0.5215,1225000.0,1225471.6,1225521.5
1.47,2,6,-0.4747,1470000.0,1468883.3,1469525.3
1.715,2,7,1.1738,1715000.0,1716093.0,1716173.8
1.96,2,8,0.1078,1960000.0,1959983.8,1960107.8
2.205,2,9,0.0317,2205000.0,2204826.7,2205031.7
2.45,2,10,-0.3164,2450000.0,2449236.3,2449683.6
2.695,2,11,1.4727,2695000.0,2696525.3,2696472.7
2.94,2,12,-0.1012,2940000.0,2939877.6,2939898.8
3.185,2,13,-0.2858,3185000.0,3184553.9,3184714.2
3.43,2,14,-0.1048,3430000.0,3429650.2,3429895.2
3.675,2,15,0.7845,3675000.0,3675716.4,3675784.5
3.92,2,16,0.4873,3920000.0,3920521.0,3920487.3
4.165,2,17,0.4525,4165000.0,4165582.6,4165452.5
4.41,2,18,0.3939,4410000.0,4410609.2,4410393.9
4.655,2,19,1.9978,4655000.0,4657667.0,4656997.8
4.9,2,20,-0.9744,4900000.0,4899614.2,4899025.6
5.145,2,21,-0.9278,5145000.0,5144492.1,5144072.2
5.39,2,22,-1.1859,5390000.0,5389135.1,5388814.1
5.635,2,23,0.3606,5635000.0,5635855.6,5635360.6
5.88,2,24,0.8545,5880000.0,5881476.1,5880854.5
6.125,2,25,-0.5947,6125000.0,6124989.4,6124405.3
6.37,2,26,-1.1113,6370000.0,6369122.8,6368888.7
6.615,2,27,-0.9595,6615000.0,6614146.5,6614040.5
6.86,2,28,0.6972,6860000.0,6860921.4,6860697.2
7.105,2,29,0.7024,7105000.0,7106037.5,7105702.4
7.35,2,30,0.4764,7350000.0,7350802.2,7350476.4
7.595,2,31,-0.8979,7595000.0,7594356.6,7594102.1
7.84,2,32,0.1882,7840000.0,7840438.7,7840188.2
8.085,2,33,0.1237,8085000.0,8085305.0,8085123.7
8.33,2,34,0.2978,8330000.0,8330432.2,8330297.8
8.575,2,35,0.8907,8575000.0,8576220.4,8575890.7
8.82,2,36,0.0932,8820000.0,8820447.8,8820093.2
9.065,2,37,0.51,9065000.0,9065999.1,9065510.0
9.31,2,38,-0.2146,9310000.0,9310270.3,9309785.4
9.555,2,39,-0.2002,9555000.0,9555541.0,9554799.8
9.8,2,40,0.1562,9800000.0,9800956.5,9800156.2
10.045,2,41,-1.9084,10045000.0,10043455.2,10043091.6
10.29,2,42,-0.3351,10290000.0,10289825.0,10289664.9
10.535,2,43,-0.4372,10535000.0,10534649.0,10534562.8
10.78,2,44,-0.6033,10780000.0,10779451.7,10779396.7
11.025,2,45,-0.0929,11025000.0,11024893.0,11024907.1
11.27,2,46,1.795,11270000.0,11272022.0,11271795.0
11.515,2,47,-0.71,11515000.0,11514193.9,11514290.0
11.76,2,48,1.2327,11760000.0,11761399.7,11761232.7
12.005,2,49,-1.6224,12005000.0,12003223.2,12003377.6
12.25,2,50,0.0042,12250000.0,12249845.6,12250004.2
12.495,2,51,0.6293,12495000.0,12495447.6,12495629.3
12.74,2,52,0.9774,12740000.0,12740960.6,12740977.4
12.985,2,53,0.9593,12985000.0,12986115.5,12985959.3
13.23,2,54,0.8694,13230000.0,13231218.9,13230869.4
13.475,2,55,-0.5032,13475000.0,13474853.2,13474496.8
13.72,2,56,-0.5597,13720000.0,13719721.7,13719440.3
13.965,2,57,0.7438,13965000.0,13966311.0,13965743.8
14.21,2,58,-0.4857,14210000.0,14210056.7,14209514.3
14.455,2,59,-1.5469,14455000.0,14453760.3,14453453.1
14.7,2,60,-1.2356,14700000.0,14698936.0,14698764.4
14.945,2,61,-0.6658,14945000.0,14944197.5,14944334.2
15.19,2,62,0.9045,15190000.0,15190902.3,15190904.5
15.435,2,63,0.4601,15435000.0,15435481.4,15435460.1
15.68,2,64,1.0078,15680000.0,15681144.0,15681007.8
15.925,2,65,-0.2153,15925000.0,15924807.5,15924784.7
16.17,2,66,0.2604,16170000.0,16170515.3,16170260.4
16.415,2,67,0.7498,16415000.0,16416080.6,16415749.8
16.66,2,68,-0.4292,16660000.0,16659963.6,16659570.8
16.905,2,69,0.5586,16905000.0,16905887.8,16905558.6
17.15,2,70,-0.5914,17150000.0,17149550.2,17149408.6
17.395,2,71,-0.1721,17395000.0,17394913.7,17394827.9
17.64,2,72,-0.1896,17640000.0,17639896.1,17639810.4
17.885,2,73,-1.0119,17885000.0,17883924.0,17883988.1
18.13,2,74,0.7447,18130000.0,18130948.3,18130744.7
18.375,2,75,-0.3208,18375000.0,18374805.5,18374679.2
18.62,2,76,0.2438,18620000.0,18620388.6,18620243.8
18.865,2,77,0.5373,18865000.0,18865955.3,18865537.3
19.11,2,78,0.3549,19110000.0,19110919.1,19110354.9
19.355,2,79,0.5686,19355000.0,19356186.6,19355568.6
19.6,2,80,-0.2105,19600000.0,19600274.8,19599789.5
19.845,2,81,-0.3984,19845000.0,19844889.9,19844601.6
20.09,2,82,-0.0223,20090000.0,20090307.0,20089977.7
20.335,2,83,-1.597,20335000.0,20333382.8,20333403.0
20.58,2,84,-1.1047,20580000.0,20578675.9,20578895.3
20.825,2,85,-0.6815,20825000.0,20823830.0,20824318.5
21.07,2,86,-0.1752,21070000.0,21069225.4,21069824.8
21.315,2,87,1.2298,21315000.0,21315906.7,21316229.8
21.56,2,88,-0.209,21560000.0,21559345.2,21559791.0
